29191, 34228, 37883, 35386, 30047, 0, 119, 2380, -7833, -13408
21677, 19879, 32428, 27810, 25894, 33373, 48720, 1619, -4108, -14976
29084, 34351, 43005, 26230, 25418, 0, 244, 2195, 15046, -4761
21978, 20803, 31548, 19017, 29223, 39322, 209, -102, -9241, -12697
30706, 34166, 43102, 27787, 25399, 3373, 205, -953, -6905, -14080
27617, 25695, 36876, 23118, 30064, 1793, 120, 3641, -8550, -12665
24731, 22740, 33576, 28699, 27254, 40490, 37226, 4332, -4166, -14547
22322, 19481, 30068, 20423, 22322, 41160, 213, -518, -7334, -13862
29723, 34028, 42774, 19203, 27043, 0, 46720, 339, -2572, -15340
21447, 21191, 32061, 28525, 23849, 0, 40817, 742, -10560, -11609
23558, 22667, 42125, 28811, 23204, 2874, 43055, 5600, -6195, -13414
29283, 22606, 31977, 22715, 24407, 38302, 40734, -1804, -1120, -15417
29806, 22483, 31248, 19901, 22915, 37287, 223, 6169, -5324, -13459
23317, 24675, 42616, 26584, 24853, 0, 0, -2054, -3974, -14873
21199, 21365, 30966, 26586, 31051, 0, 205, 44, -6342, -14233
25371, 34197, 42729, 21716, 25036, 26009, 103, 5497, -6009, 14041
22562, 22653, 42707, 26278, 22832, 16254, 65, 6726, -6912, 13049
24515, 22027, 32921, 23801, 13220, 28777, 120, 1088, -8774, -12844
23521, 23479, 35131, 29062, 25801, 11282, 18999, -3097, -14726, 5958
25251, 25014, 41663, 22750, 24941, 0, 341, -3955, -15347, 2508
23237, 23264, 41512, 28002, 24751, 0, 43273, -1427, -5939, -14304
22978, 21777, 30880, 19836, 25264, 33991, 49670, -768, -6438, -14124
23216, 22484, 32750, 41678, 32409, 0, 167, 13900, -6649, -4774
26422, 25241, 42443, 40207, 25229, 3366, 13952, -2131, -4729, -14585
26479, 25604, 42396, 39692, 25412, 0, 32360, -2304, -6067, -14080
24657, 33716, 42124, 39856, 24634, 0, 0, -332, -7136, -13958
25986, 23013, 34273, 34089, 22180, 0, 27712, -486, -10252, -11859
29694, 21860, 32212, 27376, 31791, 29078, 0, 1958, -7667, -13516
23510, 22515, 31757, 39764, 24344, 0, 47450, -4313, -2124, -14694
