25423, 31500, 39569, 36498, 22154, 0, 0, 7884, -7283, -11763
20695, 24542, 26103, 29318, 16213, 22361, 50645, 12544, -6406, -7417
25520, 35322, 41485, 41305, 19478, 0, 0, 3225, 15686, -300
20183, 22111, 30737, 28917, 19222, 0, 0, 4064, -2233, -14963
30011, 38170, 40991, 34554, 16442, 0, 0, 4614, -2278, -14726
25441, 25673, 32974, 31388, 20564, 0, 0, 5312, -7596, -12793
22927, 24625, 31511, 37754, 20923, 0, 859, 5088, -3014, -14528
23500, 24337, 26341, 25586, 16730, 0, 0, 2080, -2361, -15296
31962, 37656, 35824, 27389, 18124, 0, 1449, 3488, 2432, -15033
25589, 24225, 28046, 38484, 16848, 22361, 88, 3008, -736, -15148
23619, 25154, 29876, 40096, 16701, 0, 0, 9324, -7948, -10144
31397, 25544, 30176, 29704, 15831, 0, 0, 1254, 3212, -15187
31123, 26003, 30398, 30511, 15245, 0, 0, 9235, 1062, -12544
25045, 24813, 35360, 42380, 12126, 0, 0, 2995, 1913, -15161
24582, 23895, 26224, 42143, 19791, 0, 0, 3379, -3238, -14873
23668, 38170, 41118, 38948, 15158, 0, 0, 2284, -8838, 13248
23411, 26583, 41749, 38878, 18226, 0, 0, 1273, -9427, 13120
24369, 24060, 34588, 29100, 20259, 0, 25124, 6547, -3270, -14035
24764, 23809, 33148, 40881, 20154, 0, 40559, -4211, -11686, 10208
25885, 27996, 41371, 26984, 22568, 0, 0, 1113, -11641, 11116
22825, 22868, 38943, 42867, 16014, 0, 31189, 2841, -1952, -15123
21912, 24793, 34065, 28982, 18768, 0, 0, 3507, -3404, -14777
22611, 22764, 32082, 38724, 21447, 0, 0, 15654, -953, -3603
24450, 24424, 41984, 37666, 17206, 0, 40043, 4249, -2137, -14784
23841, 24248, 43018, 42323, 17201, 0, 37797, 6470, -3308, -13894
22481, 34383, 38787, 42335, 17120, 0, 30924, 6003, -4403, -13862
22406, 23122, 32243, 36759, 18128, 0, 27596, 4473, -4889, -14163
31038, 25117, 30085, 28703, 21658, 0, 0, 7468, -1299, -13657
22573, 22577, 32664, 41140, 17707, 0, 36460, -1964, 2604, -15174
