30649, 33755, 41213, 41730, 32048, 0, 0, 2963, -8064, -13132
22014, 14196, 29332, 24451, 24867, 48146, 60939, 2476, -8883, -12876
31109, 35829, 39761, 40428, 31139, 0, 0, 5472, 12281, -8428
20767, 19467, 30702, 25747, 29916, 44810, 0, 3635, -5932, -13913
29511, 36290, 42204, 41182, 28182, 0, 0, 1804, -9152, -12716
24340, 24906, 34214, 28796, 30762, 0, 0, 1286, -11411, -10803
23180, 21635, 31300, 39240, 28035, 54656, 27234, 3904, -9107, -12281
21736, 20665, 30049, 24588, 27748, 43810, 0, 51, -8262, -13248
27439, 36921, 42600, 29199, 28715, 1, 0, 608, -8121, -13132
21648, 20418, 29933, 40546, 28312, 47113, 28608, 2656, -14828, -5670
25290, 21492, 42068, 40242, 27033, 0, 41840, 7328, -11129, -8889
31210, 24306, 32472, 25449, 27248, 38967, 59696, 1113, -6630, -14355
30712, 25184, 32512, 26031, 28632, 4238, 0, 9702, -3916, -11776
25518, 24441, 41908, 39508, 29074, 0, 0, 3571, -7974, -12985
23312, 21111, 30367, 39566, 31189, 0, 0, 3756, -6828, -13158
27903, 35624, 37302, 40347, 30485, 0, 0, -883, -5715, 15161
25567, 26746, 41533, 40378, 31232, 83, 0, 38, -4761, 15424
27464, 25363, 32473, 30051, 31220, 53197, 59488, 7193, -7520, -11993
27638, 21428, 29217, 41422, 26634, 54271, 42542, 10796, 780, 12134
24533, 22471, 42785, 27245, 32322, 15, 0, -1830, -10022, 12454
24641, 21668, 41563, 41730, 28509, 0, 0, 4454, -10246, -11097
22663, 20026, 28895, 23884, 27008, 55107, 57105, 3635, -7724, -13209
24100, 20866, 18199, 39844, 31015, 0, 0, 15296, -3033, -3724
28010, 23516, 38239, 40704, 31100, 4796, 0, 5932, -8921, -11488
27820, 22577, 39884, 40135, 29140, 0, 0, 3699, -10643, -11033
25951, 37557, 41206, 40315, 30165, 0, 0, 2291, -11686, -10592
24302, 22590, 30395, 30304, 29889, 0, 0, 5702, -11046, -9817
29884, 22910, 30796, 25655, 30329, 31000, 0, 6028, -9772, -11187
24591, 23466, 29830, 40442, 27293, 5208, 7440, 2579, -11347, -10752
