36958, 32375, 38184, 34738, 29570, 0, 0, 614, 166, -15283
26434, 20377, 27728, 23181, 23898, 53373, 55460, -2188, -1254, -14988
35612, 29105, 36759, 33367, 28521, 0, 0, 5625, 15462, 38
26208, 19743, 27396, 21956, 27527, 52900, 0, -1312, -128, -15251
37635, 33330, 38297, 36549, 24295, 20363, 0, 2361, 1856, -15264
29076, 21995, 29045, 29203, 29477, 0, 0, -300, -6163, -13964
30055, 22594, 28180, 36657, 28212, 50530, 48621, 1100, -5862, -14099
25485, 18907, 22315, 21970, 25134, 46081, 0, 320, -6259, -13958
34893, 29802, 37755, 26122, 25330, 0, 30092, 3065, 3916, -14726
19553, 20942, 27675, 36436, 24035, 28381, 40676, 6720, -12684, -6675
18918, 24223, 39501, 37612, 23891, 0, 9611, 13689, -7680, -3360
23366, 22689, 29344, 26196, 22269, 11040, 0, 4454, -3027, -14521
36563, 23141, 30121, 24765, 26741, 0, 0, 6720, -10380, -9574
31880, 23092, 39074, 36959, 31811, 0, 0, 4313, 1241, -14854
28784, 22165, 28343, 37190, 31773, 0, 0, 4032, -5472, -13811
29216, 33643, 37645, 33132, 25722, 17984, 0, -7097, -13760, 2342
28347, 23947, 38212, 33657, 23503, 308, 0, -6809, -13312, 4454
28604, 22780, 28689, 26397, 28917, 32388, 45664, -64, -4716, -14502
29354, 23021, 32638, 38113, 28313, 27175, 55460, -364, -14988, 5510
29173, 23384, 38531, 24565, 31993, 0, 0, -1139, -12691, 9670
27524, 21345, 37726, 35017, 25282, 0, 44076, 4166, -1708, -14579
26720, 19928, 25852, 24031, 24701, 33898, 0, 889, -1292, -15257
28205, 21809, 26884, 40034, 28922, 0, 0, 14611, -6790, -1158
28481, 22651, 39475, 39199, 23993, 0, 36228, 2867, -3827, -14630
28813, 22489, 39756, 37819, 25182, 0, 50422, 2272, -5145, -14265
29826, 34119, 39759, 37621, 25020, 0, 20721, 1881, -2489, -14937
27642, 22726, 27600, 29615, 25640, 0, 46641, 5504, -5350, -13408
37392, 23759, 31508, 24207, 30385, 0, 0, 1484, -6822, -13664
27010, 21587, 26890, 24319, 26320, 36021, 34343, -1478, -1689, -15097
