27893, 33458, 42333, 41199, 34045, 0, 0, -729, -7353, -13830
19124, 17911, 28593, 23728, 30203, 53267, 56507, -1792, -3974, -15078
31941, 35984, 42641, 31536, 33806, 0, 0, 10067, 11046, -5664
20867, 19403, 28631, 23497, 33412, 49645, 0, -896, -5625, -14508
30693, 36019, 42186, 40624, 31764, 40139, 0, -384, -7206, -13862
24891, 23466, 29794, 27786, 31492, 24275, 0, 3059, -9516, -12281
22885, 22793, 31329, 40806, 33760, 55193, 50147, 2662, -8864, -12704
22078, 19896, 28305, 23354, 30162, 49318, 0, -409, -8262, -13158
32746, 35478, 42432, 25159, 33032, 0, 56264, -1587, -5721, -14387
21751, 21119, 30519, 41237, 31744, 54859, 58567, -3635, -14515, -5350
25675, 26505, 36572, 40991, 31981, 28754, 50286, 7129, -14009, -3820
32573, 26129, 33520, 29265, 29772, 49914, 59995, -2272, -6252, -14022
32141, 23609, 30406, 24438, 32806, 0, 0, 3283, -9068, -12569
24610, 26149, 41993, 40799, 31134, 0, 0, -115, -7737, -13651
22043, 19868, 23450, 41513, 33704, 0, 0, -1056, -7180, -13779
24432, 32523, 40346, 37221, 31560, 32862, 0, -2195, -10496, 11955
23269, 20038, 40271, 37812, 31626, 31957, 0, -2617, -9318, 12819
24054, 23633, 22673, 20767, 32566, 49010, 59383, -1024, -8646, -12896
22012, 22764, 36097, 38741, 33985, 48493, 51299, -4115, -12390, 9267
22990, 22121, 42028, 18004, 34551, 0, 0, -5292, -10182, 11212
24972, 24107, 41780, 30159, 30418, 0, 49911, 748, -5676, -14470
21832, 20919, 29070, 19303, 29402, 55369, 60782, -864, -3116, -15193
23956, 24030, 34347, 42216, 33232, 0, 0, 15187, -5171, -1907
23801, 26268, 42638, 41375, 30600, 34170, 57476, -249, -7750, -13740
20919, 26542, 42612, 40995, 31205, 0, 54549, -857, -8128, -13216
21018, 36313, 42707, 41179, 33386, 0, 52265, -1241, -8166, -13388
23795, 23829, 32086, 33953, 33576, 0, 0, -6246, -11897, -8313
31382, 21825, 18509, 23401, 33936, 46826, 0, -332, -8211, -13337
21387, 20931, 30997, 40652, 30345, 54077, 54806, -6163, -6611, -12755
