29175, 32443, 41229, 39403, 32364, 0, 0, 3494, -6771, -13798
17809, 19050, 28849, 23500, 26517, 46646, 55544, -147, -8140, -13536
25381, 32470, 40042, 26357, 31725, 0, 0, 876, 15609, 3584
19530, 18477, 30045, 24380, 31255, 0, 0, 2099, 486, -15449
28361, 35367, 41973, 39843, 31882, 38760, 0, 1350, -4825, -14835
24774, 25045, 33357, 31958, 32146, 0, 0, 1830, -9510, -12588
17671, 19615, 30281, 39165, 33234, 46952, 49578, 6291, -4595, -13721
19142, 18528, 27634, 23066, 30917, 33647, 0, 5836, -2387, -14387
26566, 35488, 41919, 22686, 30120, 0, 54969, 5580, -2028, -14547
21110, 19363, 29453, 40522, 32446, 45077, 49435, 3206, -13798, -7654
21417, 22322, 41923, 39477, 30458, 0, 52369, 10784, -7040, -9606
28670, 23200, 32029, 29407, 26237, 2088, 50929, 4416, 921, -15065
28414, 21005, 28874, 23625, 29478, 0, 0, 8569, -2752, -12966
21392, 16602, 41710, 39081, 29891, 0, 0, 5849, -4313, -14124
20537, 17063, 28184, 39143, 32712, 0, 0, 6579, -4326, -13708
21839, 30813, 38581, 34782, 30761, 0, 0, 217, -16064, -1708
20662, 20827, 41223, 36999, 26072, 0, 0, -3097, -11526, 10739
23992, 21597, 31503, 26077, 32780, 21926, 55085, 5491, -6924, -13132
23836, 20795, 31419, 39202, 34771, 40445, 42283, 512, -15929, 3072
22677, 21825, 39196, 26215, 33836, 0, 0, 691, -15622, 4550
23747, 22738, 40634, 40315, 31358, 0, 49578, 5241, -4428, -14131
19977, 18750, 27830, 26545, 28254, 24825, 0, 6444, -1145, -14252
21723, 20207, 29852, 41388, 32095, 0, 0, 14291, -4556, -5446
24962, 23897, 40044, 40167, 29917, 0, 48747, 3443, -4140, -14720
24323, 22902, 27655, 39842, 29005, 0, 55074, 4307, -9164, -12108
22021, 35435, 29941, 39661, 31920, 0, 23997, 5817, -6553, -13132
22785, 22525, 31481, 36892, 28909, 0, 55974, -2598, -11526, -10425
30132, 20204, 30183, 24262, 32164, 7652, 0, 8179, -7155, -11744
24742, 20678, 30266, 38854, 30195, 0, 42931, 1958, -2656, -15372
